actors_1,gross_profit,gender
Robert Downey Jr.,4701902775,M
Johnny Depp,3661996182,M
Will Smith,2972163600,M
Adam Sandler,2839811488,M
Tom Cruise,2654135773,M
Dwayne Johnson,2461781676,M
Tom Hanks,2339148705,M
Hugh Jackman,2298165614,M
Sandra Bullock,2169102951,F
Mark Wahlberg,2162696651,M
Mike Myers,2131017328,M
Christian Bale,2077815025,M
Will Ferrell,2041935741,M
Chris Pratt,2025725247,M
Ben Stiller,2012872811,M
Vin Diesel,2010390183,M
Jim Carrey,1953670908,M
Steve Carell,1948580625,M
Matt Damon,1883419220,M
Ben Affleck,1874856517,M
Leonardo DiCaprio,1856896576,M
Denzel Washington,1753003678,M
Nicolas Cage,1632175206,M
Shia LaBeouf,1626743784,M
Harrison Ford,1572968421,M
Tobey Maguire,1554573467,M
Robert De Niro,1471808344,M
Daniel Radcliffe,1459928974,M
Daniel Craig,1438645332,M
George Clooney,1437038936,M
Jennifer Lawrence,1427986545,F
Bradley Cooper,1413052931,M
Bruce Willis,1393340710,M
Owen Wilson,1379917508,M
Ryan Reynolds,1340159769,M
Ewan McGregor,1291637065,M
Sam Worthington,1287072291,M
Brad Pitt,1280719472,M
Kristen Stewart,1182177222,F
Matthew McConaughey,1137909298,M
Jack Black,1117746455,M
Russell Crowe,1116738230,M
Chris Hemsworth,1067117279,M
Kristen Bell,1042916064,F
Reese Witherspoon,1030070180,F
Chris Evans,1026148871,M
James McAvoy,1011422255,M
Craig T. Nelson,985452330.5,M
Antonio Banderas,977122949.6,M
Ian McKellen,975106247.5,M
Chris Pine,956896164.1,M
Mel Gibson,937970009.4,M
Angelina Jolie,918481131.8,F
Chadwick Boseman,900552506.1,M
Liam Neeson,897947077,M
Ice Cube,845221938.8,M
Eddie Murphy,833026683.4,M
Vince Vaughn,825707584.3,M
Keanu Reeves,822299251.2,M
Cameron Diaz,821638797,F
Joaquin Phoenix,811515437.6,M
Gerard Butler,785332813.5,M
Martin Lawrence,783907236,M
Jamie Foxx,780879744.5,M
Tom Holland,771465598.4,M
Brendan Fraser,755383781.9,M
Anna Kendrick,749967989.1,F
Dennis Quaid,747411854.7,M
Meryl Streep,743278257.4,F
Julia Roberts,730701279.7,F
Jackie Chan,729544094.8,M
John Travolta,690801283.3,M
Nicole Kidman,677671677.1,F
John Cusack,670887690,M
Steve Martin,668691356.3,M
Chiwetel Ejiofor,660775134.9,M
Seth Rogen,657265463.4,M
Mark Hamill,654821163.7,M
Jay Baruchel,652532471.9,M
Jennifer Lopez,642149784.7,F
Naomi Watts,641940649.9,F
Clint Eastwood,636717717.4,M
Benedict Cumberbatch,635728956.2,M
Jason Bateman,616153610.4,M
Paul Rudd,612132204.1,M
Andrew Garfield,606600715.8,M
Felicity Jones,599250315.9,F
Ralph Fiennes,591641234,M
Andy Serkis,586453227.7,M
Tommy Lee Jones,585208841.7,M
Samuel L. Jackson,581716747.2,M
Jeff Bridges,580401563.7,M
Paul Walker,578272743.9,M
John Goodman,574818641.7,M
Jason Statham,566159076.9,M
Jason Lee,560273155.4,M
Anthony Hopkins,560159996.8,M
Amy Poehler,557508361.2,F
Sylvester Stallone,557197419.3,M