Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote
2000,1033052006,6923552006,5890500000,807.2
Cast Away,143632142,233632142,90000000,7.8
Scary Movie,138019771,157019771,19000000,6.2
How the Grinch Stole Christmas,137044825,260044825,123000000,6.2
What Women Want,112811707,182811707,70000000,6.4
Meet the Parents,111244045,166244045,55000000,7
Mission: Impossible II,90409889,215409889,125000000,6.1
Big Momma's House,87559438,117559438,30000000,5.2
Remember the Titans,85654751,115654751,30000000,7.8
Gladiator,84705427,187705427,103000000,8.5
X-Men,82299718,157299718,75000000,7.4
Traffic,76115725,124115725,48000000,7.6
Erin Brockovich,73595205,125595205,52000000,7.3
Chicken Run,61834564,106834564,45000000,7
Miss Congeniality,61807667,106807667,45000000,6.2
Bring It On,57379000,68379000,11000000,6
What Lies Beneath,55464351,155464351,100000000,6.6
Road Trip,52540777,68540777,16000000,6.4
Scream 3,49143175,89143175,40000000,5.6
Snow Day,47020107,60020107,13000000,5.1
Chocolat,46509363,71509363,25000000,7.2
Rugrats in Paris: The Movie - Rugrats II,46507756,76507756,30000000,6.1
Next Friday,46328603,57328603,11000000,6.2
The Perfect Storm,42618434,182618434,140000000,6.4
"Me, Myself & Irene",39570999,90570999,51000000,6.6
Nutty Professor II: The Klumps,39309890,123309890,84000000,4.4
"Dude, Where's My Car?",33729800,46729800,13000000,5.5
Charlie's Angels,32305545,125305545,93000000,5.5
Romeo Must Die,30973336,55973336,25000000,6.1
Final Destination,30331147,53331147,23000000,6.7
The Cell,28334059,61334059,33000000,6.3
My Dog Skip,28134641,34134641,6000000,7
Space Cowboys,25464773,90464773,65000000,6.4
Shaft,24334258,70334258,46000000,5.9
Unbreakable,20011339,95011339,75000000,7.3
"O Brother, Where Art Thou?",19512588,45512588,26000000,7.7
Where the Heart Is,18772838,33772838,15000000,6.8
Men of Honor,16818921,48818921,32000000,7.2
Memento,16544867,25544867,9000000,8.4
Pitch Black,16240659,39240659,23000000,7.1
The Whole Nine Yards,15962492,57262492,41300000,6.7
The Family Man,15793305,75793305,60000000,6.8
Coyote Ugly,15786269,60786269,45000000,5.7
The Tigger Movie,15554533,45554533,30000000,6.3
U-571,15122415,77122415,62000000,6.6
Frequency,14010278,45010278,31000000,7.3
Gone in Sixty Seconds,11648571,101648571,90000000,6.5
Book of Shadows: Blair Witch 2,11437094,26437094,15000000,3.9
Dinosaur,10248063,137748063,127500000,6.5
Boiler Room,9970581,16970581,7000000,7
Down to You,9069008,20069008,11000000,5
Finding Forrester,8804714,51804714,43000000,7.3
Return to Me,8722798,32722798,24000000,6.9
Best in Show,8715392,18715392,10000000,7.4
You Can Count on Me,8216804,9416804,1200000,7.5
American Psycho,8070285,15070285,7000000,7.6
Keeping the Faith,8047880,37047880,29000000,6.3
Urban Legends: Final Cut,7468807,21468807,14000000,4.3
Love & Basketball,7459615,27459615,20000000,7.2
The Kid,4691949,69691949,65000000,6.1
The Patriot,3330342,113330342,110000000,7.2
Pollock,2598593,8598593,6000000,7
The Gift,2008642,12008642,10000000,6.6
Shanghai Noon,1937502,56937502,55000000,6.6
Bounce,1805288,36805288,35000000,5.7
Rules of Engagement,1335230,61335230,60000000,6.4
Shadow of the Vampire,293784,8293784,8000000,6.9
The Skulls,46120,35046120,35000000,5.6
Requiem for a Dream,-864518,3635482,4500000,8.3
The Watcher,-1053385,28946615,30000000,5.3
The Contender,-2127277,17872723,20000000,6.9
The Way of the Gun,-2444339,6055661,8500000,6.7
High Fidelity,-2712863,27287137,30000000,7.5
Animal Factory,-3556195,43805,3600000,6.6
Loser,-4381374,15618626,20000000,5.3
The Replacements,-5262941,44737059,50000000,6.6
Vertical Limit,-5756141,69243859,75000000,5.9
28 Days,-5829512,37170488,43000000,6.1
Quills,-6434668,7065332,13500000,7.3
Pay It Forward,-6480372,33519628,40000000,7.2
Bamboozled,-7725021,2274979,10000000,6.5
Small Time Crooks,-7733641,17266359,25000000,6.7
The Million Dollar Hotel,-7940011,59989,8000000,5.9
Dancer in the Dark,-8615964,4184036,12800000,8
Cecil B. Demented,-8715354,1284646,10000000,6.3
Brother,-9549406,450594,10000000,7.2
Nurse Betty,-9829946,25170054,35000000,6.1
Tigerland,-9860308,139692,10000000,7
Dr. T & the Women,-9886959,13113041,23000000,4.6
The Next Best Thing,-10009418,14990582,25000000,4.7
Bedazzled,-10113020,37886980,48000000,6
The Beach,-10214973,39785027,50000000,6.7
The Ladies Man,-10383390,13616610,24000000,5.2
The Emperor's New Groove,-10697313,89302687,100000000,7.3
Ready to Rumble,-11605673,12394327,24000000,5.4
Center Stage,-11799075,17200925,29000000,6.7
Highlander: Endgame,-12188142,12811858,25000000,4.6
Boys and Girls,-13200348,21799652,35000000,5.4
102 Dalmatians,-18042974,66957026,85000000,4.9
Reindeer Games,-18631005,23368995,42000000,5.8
Gossip,-18891180,5108820,24000000,5.9
Dracula 2000,-20977233,33022767,54000000,4.9
Drowning Mona,-21493236,15506764,37000000,5.7
Hollow Man,-21790660,73209340,95000000,5.8
The Yards,-23110648,889352,24000000,6.4
Hanging Up,-23949770,36050230,60000000,4.9
Under Suspicion,-24739438,260562,25000000,6.5
Autumn in New York,-27238085,37761915,65000000,5.7
Almost Famous,-27465150,32534850,60000000,7.9
Dungeons & Dragons,-29608030,15391970,45000000,3.6
The Art of War,-29791401,30208599,60000000,5.7
Proof of Life,-32401069,32598931,65000000,6.2
Lost Souls,-33184747,16815253,50000000,4.8
Wonder Boys,-35606443,19393557,55000000,7.2
Bless the Child,-35618506,29381494,65000000,5.1
Bait,-35674873,15325127,51000000,5.8
Mission to Mars,-39116593,60883407,100000000,5.7
All the Pretty Horses,-41459647,15540353,57000000,5.8
The Road to El Dorado,-44136258,50863742,95000000,6.9
Thirteen Days,-45407911,34592089,80000000,7.3
Little Nicky,-45535225,39464775,85000000,5.3
The 6th Day,-47395720,34604280,82000000,5.9
The Flintstones in Viva Rock Vegas,-47731725,35268275,83000000,3.6
Get Carter,-48632818,14967182,63600000,5.2
The Legend of Bagger Vance,-49080832,30919168,80000000,6.7
The Adventures of Rocky & Bullwinkle,-49994180,26005820,76000000,4.2
Battlefield Earth,-51528315,21471685,73000000,2.5
Titan A.E.,-52246574,22753426,75000000,6.6
Red Planet,-62519110,17480890,80000000,5.7
Supernova,-75769545,14230455,90000000,4.9
2001,1557339917,7633289917,6075950000,905.1
The Lord of the Rings: The Fellowship of the Ring,222544750,315544750,93000000,8.8
Shrek,207665011,267665011,60000000,7.8
Harry Potter and the Sorcerer's Stone,193087620,318087620,125000000,7.6
"Monsters, Inc.",174916256,289916256,115000000,8
Rush Hour 2,136164286,226164286,90000000,6.6
American Pie 2,115103595,145103595,30000000,6.4
A Beautiful Mind,112742341,170742341,58000000,8.2
The Fast and the Furious,106533925,144533925,38000000,6.8
The Mummy Returns,104019785,202019785,98000000,6.3
Ocean's Eleven,98417150,183417150,85000000,7.7
Jurassic Park III,88171875,181171875,93000000,5.9
The Princess Diaries,82248956,108248956,26000000,6.3
Planet of the Apes,80011740,180011740,100000000,5.7
The Others,79522687,96522687,17000000,7.6
Legally Blonde,78520674,96520674,18000000,6.3
Hannibal,78092268,165092268,87000000,6.8
Save the Last Dance,78057006,91057006,13000000,6.2
Spy Kids,77719001,112719001,35000000,5.5
Pearl Harbor,58542554,198542554,140000000,6.2
Jimmy Neutron: Boy Genius,50936232,80936232,30000000,6
America's Sweethearts,47607673,93607673,46000000,5.7
Bridget Jones's Diary,46543427,71543427,25000000,6.7
Dr. Dolittle 2,42952899,112952899,70000000,4.7
In the Bedroom,34230604,35930604,1700000,7.4
Cats & Dogs,33385515,93385515,60000000,5.1
Vanilla Sky,32618344,100618344,68000000,6.9
Training Day,31631907,76631907,45000000,7.7
The Royal Tenenbaums,31364010,52364010,21000000,7.6
Shallow Hal,30839203,70839203,40000000,5.9
Jeepers Creepers,27904175,37904175,10000000,6.2
Monster's Ball,27273922,31273922,4000000,7
Scary Movie 2,26308997,71308997,45000000,5.3
The Wedding Planner,25400856,60400856,35000000,5.3
Not Another Teen Movie,23252284,38252284,15000000,5.7
Serendipity,22294317,50294317,28000000,6.9
Gosford Park,21508615,41308615,19800000,7.2
Behind Enemy Lines,18856790,58856790,40000000,6.4
I Am Sam,18311852,40311852,22000000,7.7
Zoolander,17172250,45172250,28000000,6.5
Black Hawk Down,16638745,108638745,92000000,7.7
Lara Croft: Tomb Raider,16168070,131168070,115000000,5.8
Super Troopers,15492362,18492362,3000000,7.1
Down to Earth,15186502,64186502,49000000,5.5
Along Came a Spider,14078174,74078174,60000000,6.4
Corky Romano,12980304,23980304,11000000,4.7
Baby Boy,12734552,28734552,16000000,6.4
Kiss of the Dragon,11845124,36845124,25000000,6.6
How High,11178740,31178740,20000000,6.3
O,11025437,16025437,5000000,6.1
The Animal,10743062,57743062,47000000,4.8
The Mexican,9845033,66845033,57000000,6.1
Joe Dirt,9387695,27087695,17700000,6
Rat Race,8618055,56618055,48000000,6.4
Hard Ball,8222729,40222729,32000000,6.4
Jay and Silent Bob Strike Back,8085147,30085147,22000000,6.8
Moulin Rouge!,7386607,57386607,50000000,7.6
Kissing Jessica Stein,6025722,7025722,1000000,6.4
The Deep End,5823109,8823109,3000000,6.5
Heartbreakers,5336607,40336607,35000000,6.2
Don't Say a Word,5001642,55001642,50000000,6.3
Crocodile Dundee in Los Angeles,4485682,25635682,21150000,4.8
Someone Like You...,4343067,27343067,23000000,6.1
Crazy/Beautiful,3937988,16937988,13000000,6.5
The Score,3107711,71107711,68000000,6.8
Tomcats,2558739,13558739,11000000,5.4
Jason X,2121555,13121555,11000000,4.4
Frailty,2110448,13110448,11000000,7.2
Exit Wounds,1758599,51758599,50000000,5.6
Tape,390475,490475,100000,7.3
Made,313300,5313300,5000000,6.4
Freddy Got Fingered,254993,14254993,14000000,4.6
Iris,94617,5594617,5500000,7
Blow,-9225,52990775,53000000,7.6
Thir13en Ghosts,-132040,41867960,42000000,5.6
Ghost World,-782151,6217849,7000000,7.3
Kate & Leopold,-878141,47121859,48000000,6.4
Joy Ride,-1025081,21974919,23000000,6.6
The Believer,-1083075,416925,1500000,7.2
Session 9,-1121824,378176,1500000,6.4
Saving Silverman,-2597970,19402030,22000000,5.9
Hedwig and the Angry Inch,-2932688,3067312,6000000,7.7
From Hell,-3397434,31602566,35000000,6.8
Head Over Heels,-3575530,10424470,14000000,5.5
Pootie Tang,-3686417,3313583,7000000,5.3
The Grey Zone,-4482128,517872,5000000,7
Donnie Darko,-4521507,1478493,6000000,8
Wet Hot American Summer,-4704794,295206,5000000,6.6
The One,-5094254,43905746,49000000,5.9
Novocaine,-5963318,2036682,8000000,5.8
Hearts in Atlantis,-6814219,24185781,31000000,6.9
The Tailor of Panama,-7270258,13729742,21000000,6.1
Mulholland Dr.,-7779757,7220243,15000000,8
Birthday Girl,-7857424,5142576,13000000,6.1
Bubble Boy,-7992102,5007898,13000000,5.6
A Knight's Tale,-8430298,56569702,65000000,6.9
Valentine,-8615864,20384136,29000000,4.9
Out Cold,-10093606,13906394,24000000,6.4
Get Over It,-10423536,11576464,22000000,5.7
Life as a House,-11332730,15667270,27000000,7.5
One Night at McCool's,-11709327,6290673,18000000,6.1
The Glass House,-11849741,18150259,30000000,5.8
The Man Who Wasn't There,-12495743,7504257,20000000,7.5
The Musketeer,-12926360,27073640,40000000,4.9
Sugar & Spice,-13694899,13305101,27000000,5.7
Summer Catch,-14246447,19753553,34000000,5.1
Sweet November,-14711897,25288103,40000000,6.7
The Pledge,-15266911,19733089,35000000,6.8
Heist,-15489159,23510841,39000000,6.5
Black Knight,-16573029,33426971,50000000,4.9
Enemy at the Gates,-16598242,51401758,68000000,7.6
K-PAX,-17661515,50338485,68000000,7.4
Glitter,-17725593,4274407,22000000,2.2
Riding in Cars with Boys,-17834464,30165536,48000000,6.5
Antitrust,-18671906,11328094,30000000,6.1
Ghosts of Mars,-19290360,8709640,28000000,4.9
Say It Isn't So,-19479607,5520393,25000000,5
A.I. Artificial Intelligence,-21383311,78616689,100000000,7.2
American Outlaws,-21657210,13342790,35000000,6
Impostor,-23714824,6285176,30000000,6.2
Josie and the Pussycats,-24728985,14271015,39000000,5.4
Original Sin,-25465779,16534221,42000000,6.1
The Curse of the Jade Scorpion,-25482809,7517191,33000000,6.7
The Shipping News,-26565784,11434216,38000000,6.7
What's the Worst That Could Happen?,-27730166,32269834,60000000,5.5
Angel Eyes,-28825782,24174218,53000000,5.6
Domestic Disturbance,-29753905,45246095,75000000,5.6
Just Visiting,-30218461,4781539,35000000,5.8
Captain Corelli's Mandolin,-31456105,25543895,57000000,5.9
Swordfish,-32227031,69772969,102000000,6.5
Bandits,-33424859,41575141,75000000,6.5
15 Minutes,-35596448,24403552,60000000,6.1
Atlantis: The Lost Empire,-35943528,84056472,120000000,6.9
Rock Star,-39991718,17008282,57000000,6.3
Evolution,-41654506,38345494,80000000,6.1
The Majestic,-44192734,27807266,72000000,6.9
3000 Miles to Graceland,-46250041,15749959,62000000,6
Ali,-48796895,58203105,107000000,6.8
Spy Game,-52637440,62362560,115000000,7.1
The Last Castle,-53755940,18244060,72000000,7
Osmosis Jones,-56403089,13596911,70000000,6.3
Driven,-61279935,32720065,94000000,4.6
Monkeybone,-69588001,5411999,75000000,4.7
Final Fantasy: The Spirits Within,-104868170,32131830,137000000,6.4
2002,2312332516,8477232516,6164900000,956.5
Spider-Man,268022860,407022860,139000000,7.3
The Lord of the Rings: The Two Towers,248551365,342551365,94000000,8.7
My Big Fat Greek Wedding,236438208,241438208,5000000,6.5
Star Wars: Episode II - Attack of the Clones,195676740,310676740,115000000,6.5
Harry Potter and the Chamber of Secrets,162450136,262450136,100000000,7.4
Signs,155966634,227966634,72000000,6.7
Austin Powers in Goldmember,150307889,213307889,63000000,6.2
Chicago,125687518,170687518,45000000,7.1
Ice Age,117387405,176387405,59000000,7.5
Catch Me If You Can,112615351,164615351,52000000,8.1
Sweet Home Alabama,97223418,127223418,30000000,6.2
The Ring,81128133,129128133,48000000,7.1
Mr. Deeds,76293452,126293452,50000000,5.8
8 Mile,75750901,116750901,41000000,7.1
The Santa Clause 2,74236327,139236327,65000000,5.6
xXx,72109382,142109382,70000000,5.9
Scooby-Doo,69294164,153294164,84000000,5.1
Lilo & Stitch,65794338,145794338,80000000,7.2
Barbershop,63782105,75782105,12000000,6.3
The Bourne Identity,61661683,121661683,60000000,7.9
Men in Black II,53735288,193735288,140000000,6.2
The Rookie,53600072,75600072,22000000,6.9
The Sum of All Fears,50907036,118907036,68000000,6.4
Panic Room,48397334,96397334,48000000,6.8
Snow Dogs,48172560,81172560,33000000,5.2
Spy Kids 2: Island of Lost Dreams,47846429,85846429,38000000,5.2
Divine Secrets of the Ya-Ya Sisterhood,42599016,69599016,27000000,6.1
Maid in Manhattan,39011225,94011225,55000000,5.3
Drumline,36399184,56399184,20000000,5.8
John Q,35756802,71756802,36000000,7.1
About Schmidt,35016287,65016287,30000000,7.1
Phone Booth,33566212,46566212,13000000,7
Big Fat Liar,33360547,48360547,15000000,5.4
Two Weeks Notice,33354851,93354851,60000000,6.1
The Scorpion King,31047077,91047077,60000000,5.5
Minority Report,30072926,132072926,102000000,7.6
A Walk to Remember,29481092,41281092,11800000,7.4
Return to Never Land,28430258,48430258,20000000,5.8
Blade II,28348319,82348319,54000000,6.7
Crossroads,25191304,37191304,12000000,3.5
Road to Perdition,24454762,104454762,80000000,7.7
The Master of Disguise,24388794,40388794,16000000,3.4
Friday After Next,23253609,33253609,10000000,5.8
Orange County,23076018,41076018,18000000,6.2
Changing Lanes,21818548,66818548,45000000,6.4
Like Mike,21432760,51432760,30000000,5.3
Insomnia,21355513,67355513,46000000,7.2
40 Days and 40 Nights,20950822,37950822,17000000,5.6
The Banger Sisters,20307416,30307416,10000000,5.6
Cabin Fever,19658188,21158188,1500000,5.7
One Hour Photo,19597131,31597131,12000000,6.8
The Count of Monte Cristo,19234062,54234062,35000000,7.8
Die Another Day,18942139,160942139,142000000,6.1
Swimfan,18564995,28564995,10000000,5.1
Halloween: Resurrection,17354442,30354442,13000000,4
The New Guy,16760152,29760152,13000000,5.9
The Hours,16675994,41675994,25000000,7.5
National Lampoon's Van Wilder,16305259,21305259,5000000,6.4
Blue Crush,15390647,40390647,25000000,5.7
Red Dragon,15149898,93149898,78000000,7.2
The Wild Thornberrys Movie,15108697,40108697,25000000,5.6
Undercover Brother,14089928,39089928,25000000,5.8
Frida,13885000,25885000,12000000,7.4
Darkness,11563442,22163442,10600000,5.5
About a Boy,11385278,41385278,30000000,7
Clockstoppers,10989956,36989956,26000000,5.2
All About the Benjamins,10916319,25916319,15000000,5.9
Ghost Ship,10113491,30113491,20000000,5.5
Antwone Fisher,8578145,21078145,12500000,7.3
25th Hour,8084595,13084595,5000000,7.6
Resident Evil,7119709,40119709,33000000,6.7
Kung Pow: Enter the Fist,6037962,16037962,10000000,6.2
The Good Girl,6018296,14018296,8000000,6.4
The Transporter,4296447,25296447,21000000,6.8
Tuck Everlasting,4161999,19161999,15000000,6.6
Narc,3965659,10465659,6500000,7.1
The Mothman Prophecies,3746370,35746370,32000000,6.4
Adaptation.,3498520,22498520,19000000,7.7
We Were Soldiers,3122718,78122718,75000000,7.2
Unfaithful,2775765,52775765,50000000,6.7
Half Past Dead,2567860,15567860,13000000,4.7
The Rules of Attraction,2532619,6532619,4000000,6.7
Far from Heaven,2401849,15901849,13500000,7.3
Enough,2007742,40007742,38000000,5.8
The Emperor's Club,1618751,14118751,12500000,6.9
White Oleander,357770,16357770,16000000,7.1
Bubba Ho-Tep,239183,1239183,1000000,7
Secretary,59680,4059680,4000000,7
May,-349723,150277,500000,6.6
High Crimes,-456083,41543917,42000000,6.4
Spun,-1588881,411119,2000000,6.8
Sorority Boys,-1799968,10200032,12000000,5.5
The Pianist,-2427423,32572577,35000000,8.5
Gerry,-3245317,254683,3500000,6.1
They,-4159158,12840842,17000000,4.8
Igby Goes Down,-4222535,4777465,9000000,6.9
Queen of the Damned,-4663200,30336800,35000000,5.3
Auto Focus,-4936804,2063196,7000000,6.6
Dark Blue,-5749699,9250301,15000000,6.6
The Importance of Being Earnest,-6615071,8384929,15000000,6.8
Spirit: Stallion of the Cimarron,-6719883,73280117,80000000,7.1
Punch-Drunk Love,-7155784,17844216,25000000,7.3
Undisputed,-7235343,12764657,20000000,6.2
The Guru,-7904494,3095506,11000000,5.3
Nicholas Nickleby,-8412827,1587173,10000000,7.1
Slackers,-8714059,5285941,14000000,5.4
The Tuxedo,-9452002,50547998,60000000,5.4
The Dangerous Lives of Altar Boys,-10184136,1815864,12000000,7
Eight Crazy Nights,-10413402,23586598,34000000,5.4
Stealing Harvard,-10963594,14036406,25000000,5.2
Hollywood Ending,-11149247,4850753,16000000,6.6
Boat Trip,-11399874,8600126,20000000,4.9
Welcome to Collinwood,-11663380,336620,12000000,6.4
Serving Sara,-12069815,16930185,29000000,5.4
Eight Legged Freaks,-12677394,17322606,30000000,5.4
Confessions of a Dangerous Mind,-13992282,16007718,30000000,7
Moonlight Mile,-14164144,6835856,21000000,6.6
Possession,-14886267,10113733,25000000,6.3
The Four Feathers,-16693834,18306166,35000000,6.5
Star Trek: Nemesis,-16745591,43254409,60000000,6.4
Reign of Fire,-16938018,43061982,60000000,6.2
The Quiet American,-17011199,12988801,30000000,7
The Salton Sea,-17235446,764554,18000000,7.1
City by the Sea,-17551000,22449000,40000000,6.1
Murder by Numbers,-18054251,31945749,50000000,6.2
The Sweetest Thing,-18281836,24718164,43000000,5.2
Equilibrium,-18796206,1203794,20000000,7.4
People I Know,-21873207,126793,22000000,5.5
Gangs of New York,-22188000,77812000,100000000,7.5
Trapped,-22926749,7073251,30000000,6.2
The Time Machine,-23167506,56832494,80000000,6
Blood Work,-23764919,26235081,50000000,6.4
Life or Something Like It,-25551411,14448589,40000000,5.8
Feardotcom,-26741751,13258249,40000000,3.4
Analyze That,-27869373,32130627,60000000,5.9
Dragonfly,-29676600,30323400,60000000,6.1
Solaris,-32026618,14973382,47000000,6.2
Big Trouble,-32732693,7267307,40000000,6.5
I Spy,-36438863,33561137,70000000,5.4
Below,-39394438,605562,40000000,6.1
Bad Company,-39839839,30160161,70000000,5.6
Death to Smoochy,-41635309,8364691,50000000,6.4
Collateral Damage,-44922743,40077257,85000000,5.5
Showtime,-46917288,38082712,85000000,5.5
Hart's War,-50922359,19077641,70000000,6.3
Rollerball,-51009202,18990798,70000000,3.1
D-Tox,-54920839,79161,55000000,5.3
Stuart Little 2,-55043194,64956806,120000000,5.5
Ballistic: Ecks vs. Sever,-55692037,14307963,70000000,3.7
K-19: The Widowmaker,-64831034,35168966,100000000,6.7
Windtalkers,-74085932,40914068,115000000,6.1
The Adventures of Pluto Nash,-95579920,4420080,100000000,3.8
Treasure Planet,-101823217,38176783,140000000,7.2
2003,1919622237,8370052237,6450430000,888.4
Finding Nemo,286843261,380843261,94000000,8.1
The Lord of the Rings: The Return of the King,283845905,377845905,94000000,8.9
Pirates of the Caribbean: The Curse of the Black Pearl,165413918,305413918,140000000,8
Bruce Almighty,161829261,242829261,81000000,6.8
Elf,141626840,174626840,33000000,6.9
The Matrix Reloaded,131576461,281576461,150000000,7.2
X2,104949694,214949694,110000000,7.4
Bringing Down the House,99716677,132716677,33000000,5.6
Cheaper by the Dozen,98614544,138614544,40000000,5.9
Freaky Friday,90230332,110230332,20000000,6.2
Spy Kids 3: Game Over,73761982,111761982,38000000,4.3
The Texas Chainsaw Massacre,71071655,80571655,9500000,6.2
Mystic River,65135191,90135191,25000000,7.9
Scary Movie 3,62003217,110003217,48000000,5.5
Anger Management,60645823,135645823,75000000,6.3
How to Lose a Guy in 10 Days,55813373,105813373,50000000,6.4
Freddy vs. Jason,52622655,82622655,30000000,5.7
Old School,51585093,75585093,24000000,7.1
2 Fast 2 Furious,51154901,127154901,76000000,5.9
American Wedding,49565114,104565114,55000000,6.3
Holes,47406573,67406573,20000000,7
The School of Rock,46261177,81261177,35000000,7.1
The Italian Job,46128601,106128601,60000000,7
"Legally Blonde 2: Red, White & Blonde",45186328,90186328,45000000,4.8
Something's Gotta Give,44728738,124728738,80000000,6.7
Daddy Day Care,44297061,104297061,60000000,5.6
Lost in Translation,40585453,44585453,4000000,7.7
Kill Bill: Vol. 1,40099045,70099045,30000000,8.1
Just Married,38127162,56127162,18000000,5.5
Bad Santa,37060328,60060328,23000000,7
S.W.A.T.,36934650,116934650,80000000,6
Open Range,36331254,58331254,22000000,7.4
Seabiscuit,33277854,120277854,87000000,7.3
Open Water,30110863,30610863,500000,5.7
Underworld,29970690,51970690,22000000,7
The Jungle Book 2,27901582,47901582,20000000,5.4
Once Upon a Time in Mexico,27359780,56359780,29000000,6.4
Monster,26469210,34469210,8000000,7.3
The Lizzie McGuire Movie,25734455,42734455,17000000,5.5
Under the Tuscan Sun,25610723,43610723,18000000,6.8
Daredevil,24543518,102543518,78000000,5.3
Identity,24159536,52159536,28000000,7.3
Darkness Falls,21551396,32551396,11000000,5
Calendar Girls,21041759,31041759,10000000,6.9
Final Destination 2,20961214,46961214,26000000,6.2
Agent Cody Banks,19938330,47938330,28000000,5.1
Love Actually,19696144,59696144,40000000,7.6
Gothika,19694580,59694580,40000000,5.8
Malibu's Most Wanted,19432201,34432201,15000000,5.2
Jeepers Creepers 2,18667218,35667218,17000000,5.6
Radio,17333738,52333738,35000000,6.9
Uptown Girls,17182494,37182494,20000000,6.2
Cold Mountain,16636509,95636509,79000000,7.2
Honey,12308417,30308417,18000000,5.4
Secondhand Lions,12070939,42070939,30000000,7.5
What a Girl Wants,11105433,36105433,25000000,5.8
Shanghai Knights,10476872,60476872,50000000,6.2
Cradle 2 the Grave,9712347,34712347,25000000,5.8
Bad Boys II,8608444,138608444,130000000,6.6
Dumb and Dumberer: When Harry Met Lloyd,7276465,26276465,19000000,3.4
Kangaroo Jack,6934963,66934963,60000000,4.4
The Recruit,6802140,52802140,46000000,6.6
Dickie Roberts: Former Child Star,5738671,22738671,17000000,5.6
House of 1000 Corpses,5634962,12634962,7000000,6.1
The Station Agent,5239376,5739376,500000,7.6
The Cooler,5091572,8291572,3200000,6.9
Head of State,2925247,38125247,35200000,5.5
Wrong Turn,2818790,15418790,12600000,6.1
Thirteen,2601043,4601043,2000000,6.8
Pieces of April,2228664,2528664,300000,7
My Boss's Daughter,1550605,15550605,14000000,4.7
Saints and Soldiers,530470,1310470,780000,6.7
Latter Days,-15315,834685,850000,7
Girl with a Pearl Earring,-329029,11670971,12000000,6.9
Grind,-876304,5123696,6000000,6
Mona Lisa Smile,-1139058,63860942,65000000,6.5
Elephant,-1733045,1266955,3000000,7.2
House of the Dead,-1750281,10249719,12000000,2
Biker Boyz,-1923228,22076772,24000000,4.7
All the Real Girls,-1950334,549666,2500000,6.8
Confidence,-2748360,12251640,15000000,6.7
Big Fish,-3190307,66809693,70000000,8
The Shape of Things,-3264008,735992,4000000,6.7
House of Sand and Fog,-3459712,13040288,16500000,7.5
21 Grams,-3709524,16290476,20000000,7.7
Shattered Glass,-3779992,2220008,6000000,7.1
Wonderland,-3939488,1060512,5000000,6.6
