Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote
Party Monster,-4257102,742898,5000000,6.3
A Guy Thing,-4454569,15545431,20000000,5.6
Hulk,-4822766,132177234,137000000,5.6
The Room,-5450398,549602,6000000,3.7
Paycheck,-6209549,53790451,60000000,6.3
From Justin to Kelly,-7071117,4928883,12000000,2.1
In the Cut,-7249398,4750602,12000000,5.3
The Cat in the Hat,-7850715,101149285,109000000,3.9
Out of Time,-8911155,41088845,50000000,6.5
A Man Apart,-9263902,26736098,36000000,6.1
The Brown Bunny,-9633699,366301,10000000,5
Shade,-9974968,25032,10000000,6.3
Runaway Jury,-10556372,49443628,60000000,7.1
The Matrix Revolutions,-10686052,139313948,150000000,6.8
The League of Extraordinary Gentlemen,-11534796,66465204,78000000,5.8
Johnny English,-11917634,28082366,40000000,6.2
The Dreamers,-12467772,2532228,15000000,7.2
Willard,-13113911,6886089,20000000,6.1
The Haunted Mansion,-14152734,75847266,90000000,5
View from the Top,-14386000,15614000,30000000,5.2
Down with Love,-14694749,20305251,35000000,6.3
Anything Else,-14787690,3212310,18000000,6.3
Veronica Guerin,-15428496,1571504,17000000,6.9
Alex & Emma,-15781302,14218698,30000000,5.6
The Life of David Gale,-18044402,19955598,38000000,7.6
The Medallion,-18780808,22219192,41000000,5.3
Charlie's Angels: Full Throttle,-19169889,100830111,120000000,4.9
The In-Laws,-19546569,20453431,40000000,5.8
The Hunted,-20755903,34244097,55000000,6.1
Stuck on You,-21167259,33832741,55000000,5.7
Basic,-23206689,26793311,50000000,6.5
Luther,-24208672,5791328,30000000,6.5
The Human Stain,-24618092,5381908,30000000,6.2
Intolerable Cruelty,-24672372,35327628,60000000,6.2
Matchstick Men,-25093540,36906460,62000000,7.3
Bulletproof Monk,-28641292,23358708,52000000,5.5
The Core,-28813104,31186896,60000000,5.5
The Last Samurai,-28872737,111127263,140000000,7.7
Lara Croft Tomb Raider: The Cradle of Life,-29339804,65660196,95000000,5.6
Duplex,-30307865,9692135,40000000,5.9
The Order,-30339194,7660806,38000000,5.2
Beyond Borders,-30569899,4430101,35000000,6.5
Tears of the Sun,-31265124,43734876,75000000,6.6
The Missing,-32988820,27011180,60000000,6.5
Sinbad: Legend of the Seven Seas,-33516548,26483452,60000000,6.7
Dreamcatcher,-34284564,33715436,68000000,5.5
The Rundown,-37273658,47726342,85000000,6.7
Brother Bear,-42663723,85336277,128000000,6.8
Gods and Generals,-43117066,12882934,56000000,6.4
Hollywood Homicide,-44059309,30940691,75000000,5.3
Gigli,-47912458,6087542,54000000,2.5
Terminator 3: Rise of the Machines,-49628888,150371112,200000000,6.3
Peter Pan,-51537392,48462608,100000000,6.8
Master and Commander: The Far Side of the World,-56072080,93927920,150000000,7.4
Looney Tunes: Back in Action,-59008636,20991364,80000000,5.7
Timeline,-60518057,19481943,80000000,5.7
2004,1447454013,8290611013,6843157000,913.3
Shrek 2,291226247,441226247,150000000,7.2
Meet the Fockers,199261160,279261160,80000000,6.3
Spider-Man 2,173585825,373585825,200000000,7.3
The Incredibles,169441092,261441092,92000000,8
Harry Potter and the Prisoner of Azkaban,119975996,249975996,130000000,7.9
The Bourne Supremacy,101241941,176241941,75000000,7.7
The Grudge,100359362,110359362,10000000,5.9
Dodgeball: A True Underdog Story,94326736,114326736,20000000,6.7
Shark Tale,85861908,160861908,75000000,6
National Treasure,73008894,173008894,100000000,6.9
Million Dollar Baby,70492203,100492203,30000000,8.1
Mean Girls,69058055,86058055,17000000,7
The Day After Tomorrow,61740799,186740799,125000000,6.4
Anchorman: The Legend of Ron Burgundy,59288303,85288303,26000000,7.2
Sideways,55503593,71503593,16000000,7.5
The SpongeBob SquarePants Movie,55417988,85417988,30000000,7.1
The Princess Diaries 2: Royal Engagement,55170481,95170481,40000000,5.8
Saw,54800369,56000369,1200000,7.6
The Village,54197520,114197520,60000000,6.5
The Notebook,52001787,81001787,29000000,7.8
Crash,48080300,54580300,6500000,7.7
Along Came Polly,46097164,88097164,42000000,6
50 First Dates,45908074,120908074,75000000,6.8
The Butterfly Effect,44938693,57938693,13000000,7.6
Napoleon Dynamite,44140956,44540956,400000,6.9
Without a Paddle,39169327,58169327,19000000,5.9
Miracle,36378093,64378093,28000000,7.5
Kill Bill: Vol. 2,36208183,66208183,30000000,8
Collateral,36005703,101005703,65000000,7.5
Ray,35331600,75331600,40000000,7.7
Barbershop 2: Back in Business,35111277,65111277,30000000,5.7
White Chicks,33831760,70831760,37000000,5.6
Dawn of the Dead,33020957,59020957,26000000,7.3
A Cinderella Story,32438175,51438175,19000000,5.9
You Got Served,32363810,40363810,8000000,3.9
Friday Night Lights,31255921,61255921,30000000,7.2
Starsky & Hutch,28237754,88237754,60000000,6.1
Finding Neverland,26680613,51680613,25000000,7.7
Garfield,25369589,75369589,50000000,5
The Forgotten,25133509,67133509,42000000,5.8
"I, Robot",24801023,144801023,120000000,7.1
Garden State,24282316,26782316,2500000,7.4
The Polar Express,22224490,187224490,165000000,6.6
Fat Albert,22116322,48116322,26000000,4.3
AVP: Alien vs. Predator,20282231,80282231,60000000,5.6
13 Going on 30,20231747,57231747,37000000,6.2
In Good Company,19806659,45806659,26000000,6.4
Ladder 49,19541707,74541707,55000000,6.5
The Terminal,17872883,77872883,60000000,7.4
Ocean's Twelve,15544280,125544280,110000000,6.5
Eternal Sunshine of the Spotless Mind,14400301,34400301,20000000,8.3
Confessions of a Teenage Drama Queen,14331068,29331068,15000000,4.7
Christmas with the Kranks,13780539,73780539,60000000,5.4
Anacondas: The Hunt for the Blood Orchid,12238923,32238923,20000000,4.7
Taxi,11879320,36879320,25000000,4.5
Harold & Kumar Go to White Castle,9250550,18250550,9000000,7.1
Secret Window,8022900,48022900,40000000,6.6
Man on Fire,7911774,77911774,70000000,7.7
Shall We Dance,7890460,57890460,50000000,6.1
Cellular,7003620,32003620,25000000,6.5
Closer,6987757,33987757,27000000,7.2
Resident Evil: Apocalypse,6201453,51201453,45000000,6.2
The Prince & Me,6176497,28176497,22000000,5.9
Seed of Chucky,5083732,17083732,12000000,4.8
The Ladykillers,4799191,39799191,35000000,6.2
Scooby-Doo 2: Monsters Unleashed,4216833,84216833,80000000,5.1
Saved!,3940582,8940582,5000000,6.7
Before Sunset,3120649,5820649,2700000,8
The Punisher,810189,33810189,33000000,6.4
Team America: World Police,786074,32786074,32000000,7.2
Walking Tall,437717,46437717,46000000,6.3
Primer,417760,424760,7000,6.9
Bridget Jones: The Edge of Reason,226215,40226215,40000000,6
Mean Creek,103951,603951,500000,7.2
Bride & Prejudice,-394408,6605592,7000000,6.1
Sleepover,-563610,9436390,10000000,5.4
Kinsey,-745021,10254979,11000000,7
De-Lovely,-1543367,13456633,15000000,6.6
Soul Plane,-1809250,14190750,16000000,4.5
Agent Cody Banks 2: Destination London,-2369841,23630159,26000000,4.6
D.E.B.S.,-3402554,97446,3500000,5.3
Club Dread,-3598292,5001708,8600000,5.7
The Door in the Floor,-3645376,3854624,7500000,6.6
The Machinist,-3917285,1082715,5000000,7.7
Paparazzi,-4285766,15714234,20000000,5.8
Raise Your Voice,-4588020,10411980,15000000,5.9
Win a Date with Tad Hamilton!,-4928038,17071962,22000000,5.6
A Home at the End of the World,-5470128,1029872,6500000,6.7
Hellboy,-6376042,59623958,66000000,6.8
Vanity Fair,-6863524,16136476,23000000,6.2
I Heart Huckabees,-7214568,12785432,20000000,6.6
EuroTrip,-7228613,17771387,25000000,6.6
The Aviator,-7389670,102610330,110000000,7.5
Ella Enchanted,-8081613,22918387,31000000,6.3
Mr 3000,-8188813,21811187,30000000,5.5
Jersey Girl,-9731843,25268157,35000000,6.2
Being Julia,-10260951,7739049,18000000,7
The Girl Next Door,-10410556,14589444,25000000,6.7
Godsend,-10620249,14379751,25000000,4.8
Superbabies: Baby Geniuses 2,-10780612,9219388,20000000,1.9
Chasing Liberty,-10804374,12195626,23000000,6.1
Dirty Dancing: Havana Nights,-10838410,14161590,25000000,6
Taking Lives,-12317658,32682342,45000000,6.3
Raising Helen,-12513488,37486512,50000000,6
Blade: Trinity,-12588094,52411906,65000000,5.9
A Dirty Shame,-13660332,1339668,15000000,5.1
Wimbledon,-13998867,17001133,31000000,6.3
The Manchurian Candidate,-14044370,65955630,80000000,6.6
Little Black Book,-14301332,20698668,35000000,5.3
Spartan,-14815568,4434432,19250000,6.5
Birth,-14904962,5095038,20000000,6.1
Welcome to Mooseport,-15529053,14470947,30000000,5.2
New York Minute,-15928559,14071441,30000000,5
Beyond the Sea,-16681291,6318709,23000000,6.7
Wicker Park,-16998743,13001257,30000000,7
Suspect Zero,-18274187,8725813,27000000,5.8
Torque,-18784941,21215059,40000000,4.1
First Daughter,-20944079,9055921,30000000,5.1
A Series of Unfortunate Events,-21365451,118634549,140000000,6.8
Mindhunters,-22519256,4480744,27000000,6.4
The Whole Ten Yards,-23671529,16328471,40000000,5.5
Flight of the Phoenix,-23990820,21009180,45000000,6.1
Twisted,-24801402,25198598,50000000,5.3
The Life Aquatic with Steve Zissou,-25979597,24020403,50000000,7.3
The Merchant of Venice,-26234415,3765585,30000000,7
Envy,-26437675,13562325,40000000,4.8
The Perfect Score,-29608997,10391003,40000000,5.7
The Stepford Wives,-30515258,59484742,90000000,5.3
After the Sunset,-31668767,28331233,60000000,6.3
Sky Captain and the World of Tomorrow,-32237323,37762677,70000000,6
Hidalgo,-32696550,67303450,100000000,6.7
Surviving Christmas,-33336844,11663156,45000000,5.4
Spanglish,-37273131,42726869,80000000,6.4
Exorcist: The Beginning,-38178014,41821986,80000000,5.2
Van Helsing,-39822916,120177084,160000000,6.1
Troy,-41621744,133378256,175000000,7.2
The Big Bounce,-43510524,6489476,50000000,4.9
Alfie,-46600188,13399812,60000000,6.2
The Chronicles of Riddick,-47238988,57761012,105000000,6.7
Thunderbirds,-50119083,6880917,57000000,4.3
Catwoman,-59797621,40202379,100000000,3.4
Home on the Range,-59969539,50030461,110000000,5.4
King Arthur,-68117756,51882244,120000000,6.3
The Alamo,-84585039,22414961,107000000,6
Around the World in 80 Days,-85991863,24008137,110000000,5.9
Alexander,-120702809,34297191,155000000,5.6
2005,1193666580,8145010580,6951344000,1045
Star Wars: Episode III - Revenge of the Sith,267270577,380270577,113000000,7.5
Wedding Crashers,169255921,209255921,40000000,6.9
Harry Potter and the Goblet of Fire,140417905,290417905,150000000,7.7
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",111710957,291710957,180000000,6.9
Hitch,109495555,179495555,70000000,6.6
War of the Worlds,102280354,234280354,132000000,6.5
Walk the Line,91519402,119519402,28000000,7.8
The 40 Year Old Virgin,83449237,109449237,26000000,7.1
Saw II,83039965,87039965,4000000,6.6
Mr. & Mrs. Smith,76336279,186336279,110000000,6.5
The Longest Yard,76119460,158119460,82000000,6.4
Brokeback Mountain,69043761,83043761,14000000,7.7
The Pacifier,57086868,113086868,56000000,5.6
Batman Begins,56852432,206852432,150000000,8.2
Charlie and the Chocolate Factory,56459076,206459076,150000000,6.6
The Exorcism of Emily Rose,56072454,75072454,19000000,6.7
Fantastic Four,54696080,154696080,100000000,5.7
Robots,53200012,128200012,75000000,6.3
Are We There Yet?,50674398,82674398,32000000,4.7
White Noise,46386759,56386759,10000000,5.5
The Amityville Horror,46233369,65233369,19000000,6
Diary of a Mad Black Woman,45133099,50633099,5500000,5.8
Hostel,42526473,47326473,4800000,5.9
The Family Stone,42062868,60062868,18000000,6.3
Monster-in-Law,39931301,82931301,43000000,5.6
Coach Carter,37264877,67264877,30000000,7.3
Flightplan,34707299,89707299,55000000,6.3
Sin City,34103820,74103820,40000000,8
Guess Who,33915888,68915888,35000000,5.9
Red Eye,31891803,57891803,26000000,6.4
Hoodwinked!,31530390,61530390,30000000,6.4
The Dukes of Hazzard,30270227,80270227,50000000,5.1
Four Brothers,29494381,74494381,45000000,6.8
Sky High,28946815,63946815,35000000,6.2
Boogeyman,26752382,46752382,20000000,4.2
The Ring Two,26231249,76231249,50000000,5.4
The Curse of the Were-Rabbit,26110897,56110897,30000000,7.4
"Good Night, and Good Luck.",24558003,31558003,7000000,7.4
Cheaper by the Dozen 2,22571173,82571173,60000000,5.5
Nanny McPhee,22144110,47144110,25000000,6.5
Capote,21750530,28750530,7000000,7.3
Hide and Seek,21100486,51100486,30000000,6
Racing Stripes,19772522,49772522,30000000,5.2
Hustle & Flow,19402809,22202809,2800000,7.3
Because of Winn-Dixie,18647042,32647042,14000000,6.3
Thank You for Smoking,18293509,24793509,6500000,7.6
The Wedding Date,16726995,31726995,15000000,6.2
V for Vendetta,16511035,70511035,54000000,8.2
Herbie Fully Loaded,16023816,66023816,50000000,4.8
The Sisterhood of the Traveling Pants,14053061,39053061,25000000,6.5
Derailed,14024076,36024076,22000000,6.6
Must Love Dogs,13894863,43894863,30000000,5.9
Corpse Bride,13359111,53359111,40000000,7.3
Waiting...,13124543,16124543,3000000,6.8
Fever Pitch,12071069,42071069,30000000,6.2
The Fog,11550869,29550869,18000000,3.7
Transporter 2,11095856,43095856,32000000,6.3
King Kong,11080025,218080025,207000000,7.2
Pride & Prejudice,10405088,38405088,28000000,7.8
Fun with Dick and Jane,10332737,110332737,100000000,6.2
The Devil's Rejects,10044981,17044981,7000000,6.8
Cry Wolf,9047674,10047674,1000000,5.8
The Constant Gardener,8579797,33579797,25000000,7.4
"Yours, Mine & Ours",8412862,53412862,45000000,5.5
Match Point,8151529,23151529,15000000,7.6
Transamerica,8015303,9015303,1000000,7.4
Kicking & Screaming,7842724,52842724,45000000,5.6
The Upside of Anger,6761993,18761993,12000000,6.8
The Perfect Man,6535005,16535005,10000000,5.5
The Squid and the Whale,5872734,7372734,1500000,7.3
Land of the Dead,5700082,20700082,15000000,6.2
The Skeleton Key,4907715,47907715,43000000,6.5
Broken Flowers,3744960,13744960,10000000,7.2
Miss Congeniality 2: Armed & Fabulous,3478006,48478006,45000000,5.1
Be Cool,3046979,56046979,53000000,5.6
An American Haunting,2298046,16298046,14000000,5.1
Me and You and Everyone We Know,1885134,3885134,2000000,7.3
Junebug,1678691,2678691,1000000,6.9
Brick,1600743,2075743,475000,7.3
Keeping Mum,1450466,1619466,169000,6.8
Harsh Times,1337931,3337931,2000000,6.9
The Hitchhiker's Guide to the Galaxy,1085416,51085416,50000000,6.8
Prime,827153,22827153,22000000,6.2
Syriana,824620,50824620,50000000,6.9
Dreamer: Inspired by a True Story,751093,32751093,32000000,6.8
Deuce Bigalow: European Gigolo,400154,22400154,22000000,4.7
The Matador,94698,12594698,12500000,6.7
Hard Candy,74640,1024640,950000,7.1
Conversations with Other Women,-70582,379418,450000,7
Factotum,-191779,808221,1000000,6.6
A History of Violence,-495367,31504633,32000000,7.4
The Quiet,-518580,381420,900000,6.2
The Ballad of Jack and Rose,-787725,712275,1500000,6.6
Bad News Bears,-2131651,32868349,35000000,5.8
Thumbsucker,-2671321,1328679,4000000,6.6
Mirrormask,-3133001,866999,4000000,6.8
Feast,-3143869,56131,3200000,6.3
Dark Water,-4526648,25473352,30000000,5.6
Everything Is Illuminated,-5287663,1712337,7000000,7.4
Goal!,-5716745,4283255,10000000,6.7
The Chumscrubber,-6747403,52597,6800000,6.9
The Ice Harvest,-6983218,9016782,16000000,6.3
The Interpreter,-7291839,72708161,80000000,6.4
Down in the Valley,-7431068,568932,8000000,6.4
House of Wax,-7935200,32064800,40000000,5.3
A Lot Like Love,-8154281,21845719,30000000,6.6
Mrs Henderson Presents,-8963634,11036366,20000000,7
Get Rich or Die Tryin',-9014648,30985352,40000000,5.4
Jarhead,-9341780,62658220,72000000,7
The Weather Man,-9517225,12482775,22000000,6.5
Just Like Heaven,-9681870,48318130,58000000,6.7
Edmond,-9868281,131719,10000000,6.2
Assault on Precinct 13,-9959105,20040895,30000000,6.3
The Three Burials of Melquiades Estrada,-9972316,5027684,15000000,7.4
The Greatest Game Ever Played,-10662607,15337393,26000000,7.4
Kiss Kiss Bang Bang,-10756244,4243756,15000000,7.5
The Adventures of Sharkboy and Lavagirl 3-D,-10822316,39177684,50000000,3.5
Rent,-10922453,29077547,40000000,6.9
Two for the Money,-12008621,22991379,35000000,6.3
Proof,-12464669,7535331,20000000,6.7
Serenity,-13485483,25514517,39000000,7.8
Lords of Dogtown,-13726483,11273517,25000000,7.1
Manderlay,-14121622,78378,14200000,7.3
Chicken Little,-14613335,135386665,150000000,5.7
Alone in the Dark,-14821431,5178569,20000000,2.4
The Cave,-14992009,15007991,30000000,5.1
Valiant,-15521894,19478106,35000000,5.5
Rebound,-16290986,16809014,33100000,5.2
North Country,-16662278,18337722,35000000,7.3
The New World,-17287907,12712093,30000000,6.7
Hostage,-17360061,34639939,52000000,6.6
Elizabethtown,-18149574,26850426,45000000,6.4
Elektra,-18590278,24409722,43000000,4.7
Cursed,-18702478,19297522,38000000,5
The World's Fastest Indian,-19871876,5128124,25000000,7.8
Man of the House,-20300294,19699706,40000000,5.4
Unleashed,-20462379,24537621,45000000,7
An Unfinished Life,-21413608,8586392,30000000,7
Bewitched,-21686841,63313159,85000000,4.8
BloodRayne,-22594580,2405420,25000000,2.9
Munich,-22596315,47403685,70000000,7.5
The Jacket,-22696238,6303762,29000000,7.1
Constantine,-24023822,75976178,100000000,7
The Man,-24669280,8330720,33000000,5.6
The Producers,-25601468,19398532,45000000,6.3
Lord of War,-25850368,24149632,50000000,7.6
Cinderella Man,-26350089,61649911,88000000,8
Rumor Has It...,-26999738,43000262,70000000,5.5
Memoirs of a Geisha,-27509492,57490508,85000000,7.4
The Legend of Zorro,-28535977,46464023,75000000,6
Dominion: Prequel to the Exorcist,-29748505,251495,30000000,5.2
Into the Blue,-31198766,18801234,50000000,5.9
Doom,-31787663,28212337,60000000,5.2
Zathura: A Space Adventure,-35741131,29258869,65000000,6.2
Æon Flux,-36125663,25874337,62000000,5.5
Domino,-39830798,10169202,50000000,5.9
Stay,-46373117,3626883,50000000,6.8
The Brothers Grimm,-50083733,37916267,88000000,5.9
Sahara,-61328075,68671925,130000000,6
Son of the Mask,-66981578,17018422,84000000,2.2
A Sound of Thunder,-78099549,1900451,80000000,4.2
Kingdom of Heaven,-82601587,47398413,130000000,7.2
xXx: State of the Union,-86126068,26873932,113000000,4.4
The Island,-90181087,35818913,126000000,6.8
Stealth,-102883254,32116746,135000000,5.1
2006,1044666036,8345531036,7300865000,1078.4
Pirates of the Caribbean: Dead Man's Chest,198315812,423315812,225000000,7.3
300,145614939,210614939,65000000,7.6
Night at the Museum,140863268,250863268,110000000,6.4
Cars,124082982,244082982,120000000,7.1
Ice Age: The Meltdown,115330621,195330621,80000000,6.8
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,110505958,128505958,18000000,7.3
The Pursuit of Happyness,108566459,163566459,55000000,8
Happy Feet,98000317,198000317,100000000,6.4
The Da Vinci Code,92536138,217536138,125000000,6.6
The Devil Wears Prada,89740460,124740460,35000000,6.9
Talladega Nights: The Ballad of Ricky Bobby,75713377,148213377,72500000,6.6
Over the Hedge,75019340,155019340,80000000,6.7
The Santa Clause 3: The Escape Clause,72500122,84500122,12000000,4.7
Saw III,70238724,80238724,10000000,6.2
The Break-Up,66703275,118703275,52000000,5.8
Madea's Family Reunion,57318000,63318000,6000000,5.2
Click,54855633,137355633,82500000,6.4
Step Up,53328121,65328121,12000000,6.5
Little Miss Sunshine,51891098,59891098,8000000,7.8
Rocky Balboa,46270943,70270943,24000000,7.1
Scary Movie 4,45710620,90710620,45000000,5.1
Nacho Libre,45197993,80197993,35000000,5.8
Inside Man,43513495,88513495,45000000,7.6
The Departed,42384315,132384315,90000000,8.5
Eight Below,41612565,81612565,40000000,7.3
Failure to Launch,38715192,88715192,50000000,5.6
Dreamgirls,33365956,103365956,70000000,6.5
When a Stranger Calls,32860214,47860214,15000000,5.1
Big Momma's House 2,30165972,70165972,40000000,4.7
The Omen,29607383,54607383,25000000,5.5
Final Destination 3,29098051,54098051,25000000,5.8
Date Movie,28548426,48548426,20000000,2.8
The Benchwarmers,26843754,59843754,33000000,5.5
The Hills Have Eyes,26778863,41778863,15000000,6.4
X-Men: The Last Stand,24362462,234362462,210000000,6.7
The Texas Chainsaw Massacre: The Beginning,23517763,39517763,16000000,5.8
The Illusionist,23368642,39868642,16500000,7.6
John Tucker Must Die,23011711,41011711,18000000,5.8
RV,21726025,71726025,50000000,5.5
Barnyard,21637803,72637803,51000000,5.5
"You, Me and Dupree",21628110,75628110,54000000,5.6
Clerks II,19148068,24148068,5000000,7.3
The Grudge 2,19143839,39143839,20000000,5.1
Smokin' Aces,18787686,35787686,17000000,6.7
Invincible,17806952,57806952,40000000,7.1
Casino Royale,17445960,167445960,150000000,8
Man of the Year,17327390,37327390,20000000,6.2
United 93,16483450,31483450,15000000,7.5
Employee of the Month,16444855,28444855,12000000,5.5
Stay Alive,16086480,23086480,7000000,5.1
Crank,15838408,27838408,12000000,6.9
She's the Man,13741133,33741133,20000000,6.3
Accepted,13323505,36323505,23000000,6.4
The Prestige,13089891,53089891,40000000,8.5
The Lake House,12330111,52330111,40000000,6.8
Underworld: Evolution,12318875,62318875,50000000,6.7
Larry the Cable Guy: Health Inspector,11680099,15680099,4000000,3.3
The Shaggy Dog,11123569,61123569,50000000,4.4
Akeelah and the Bee,10848430,18848430,8000000,7.3
Stranger Than Fiction,10660952,40660952,30000000,7.5
A Prairie Home Companion,10342852,20342852,10000000,6.7
Facing the Giants,10078331,10178331,100000,6.6
Babel,9302837,34302837,25000000,7.4
Gridiron Gang,8432823,38432823,30000000,6.9
Curious George,8360760,58360760,50000000,6.5
Black Christmas,7273581,16273581,9000000,4.6
See No Evil,7032800,15032800,8000000,5.1
Friends with Money,6868437,13368437,6500000,5.7
Aquamarine,6597342,18597342,12000000,5.3
Scoop,6525717,10525717,4000000,6.7
World Trade Center,5278893,70278893,65000000,5.9
Bella,4770537,8070537,3300000,7.2
Take the Lead,4742066,34742066,30000000,6.6
The Namesake,4069248,13569248,9500000,7.5
The Night Listener,3836393,7836393,4000000,5.9
The Covenant,3380495,23380495,20000000,5.3
Bug,3025810,7025810,4000000,6.1
The Pink Panther,2226474,82226474,80000000,5.7
Half Nelson,1997938,2697938,700000,7.2
Beerfest,1685184,19185184,17500000,6.3
ATL,1170563,21170563,20000000,6.1
Snakes on a Plane,1020814,34020814,33000000,5.4
Open Season,105259,85105259,85000000,6.1
Shortbus,-14708,1985292,2000000,6.4
Pulse,-235564,20264436,20500000,4.8
Wristcutters: A Love Story,-553835,446165,1000000,7.3
The Marine,-1155216,18844784,20000000,4.7
Firewall,-1248811,48751189,50000000,5.8
Hatchet,-1324719,175281,1500000,5.7
Monster House,-1338990,73661010,75000000,6.6
Sherrybaby,-1800824,199176,2000000,6.6
The Astronaut Farmer,-1996357,11003643,13000000,6.3
Charlotte's Web,-2014292,82985708,85000000,6.3
Bobby,-2757199,11242801,14000000,7
Turistas,-2972238,7027762,10000000,5.4
A Scanner Darkly,-3198384,5501616,8700000,7.1
Unknown,-3673597,26403,3700000,6.5
Lucky Number Slevin,-4504534,22495466,27000000,7.7
Rescue Dawn,-4509577,5490423,10000000,7.3
Running with Scissors,-4977173,7022827,12000000,6.2
Penelope,-4988004,10011996,15000000,6.7
Factory Girl,-5324759,1675241,7000000,6.5
Little Man,-5354948,58645052,64000000,4.4
Black Snake Moan,-5603130,9396870,15000000,6.9
Peaceful Warrior,-6039586,3960414,10000000,7.3
For Your Consideration,-6450077,5549923,12000000,6.3
Last Holiday,-6600039,38399961,45000000,6.5
Slither,-7197550,7802450,15000000,6.4
The Return,-7250149,7749851,15000000,4.7
My Super Ex-Girlfriend,-7469705,22530295,30000000,5.1
Running Scared,-8144863,6855137,15000000,7.4
Unaccompanied Minors,-8344776,16655224,25000000,5.3
The Last Kiss,-8385210,11614790,20000000,6.4
Annapolis,-8872008,17127992,26000000,5.9
Catch and Release,-9460949,15539051,25000000,6
American Dreamz,-9808170,7191830,17000000,5.4
Copying Beethoven,-10615971,384029,11000000,6.8
Just My Luck,-10673350,17326650,28000000,5.4
Deja Vu,-10961384,64038616,75000000,7
The Painted Veil,-11339513,8060487,19400000,7.5
Ultraviolet,-11464188,18535812,30000000,4.4
Tenacious D in The Pick of Destiny,-11665425,8334575,20000000,6.8
Find Me Guilty,-11826357,1173643,13000000,7
Infamous,-11848670,1151330,13000000,7
Home of the Brave,-11948292,51708,12000000,5.6
Hollywoodland,-13573749,14426251,28000000,6.5
The Guardian,-14988268,55011732,70000000,6.9
16 Blocks,-15104859,36895141,52000000,6.6
It's a Boy Girl Thing,-15499152,848,15500000,6.3
Mission: Impossible III,-15970199,134029801,150000000,6.9
The Wicker Man,-16350873,23649127,40000000,3.7
Fur: An Imaginary Portrait of Diane Arbus,-16576798,223202,16800000,6.5
Southland Tales,-16724620,275380,17000000,5.4
School for Scoundrels,-17192431,17807569,35000000,5.9
Seraphim Falls,-17581704,418296,18000000,6.7
Lonely Hearts,-17811435,188565,18000000,6.4
The Hoax,-17835005,7164995,25000000,6.7
DOA: Dead or Alive,-20519187,480813,21000000,4.8
Little Children,-20536981,5463019,26000000,7.5
