Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote
We Are Marshall,-21454636,43545364,65000000,7.1
The Holiday,-21775151,63224849,85000000,6.9
The Ant Bully,-21857465,28142535,50000000,5.8
The Fast and the Furious: Tokyo Drift,-22485585,62514415,85000000,6
Zoom,-23010672,11989328,35000000,4.4
The Sentinel,-23719303,36280697,60000000,6.1
Marie Antoinette,-24037529,15962471,40000000,6.4
The Fountain,-24855990,10144010,35000000,7.2
Eragon,-24969837,75030163,100000000,5.1
Freedomland,-25152114,12512886,37665000,5.1
Miss Potter,-26994395,3005605,30000000,6.9
The Black Dahlia,-27454920,22545080,50000000,5.6
A Good Year,-27540700,7459300,35000000,7
Lady in the Water,-27714831,42285169,70000000,5.5
The Fall,-27733095,2266905,30000000,7.9
The Good German,-30691304,1308696,32000000,6
Garfield: A Tale of Two Kitties,-31573253,28426747,60000000,5
Stormbreaker,-39322354,677646,40000000,5.1
Children of Men,-40447617,35552383,76000000,7.9
The Wild,-42615954,37384046,80000000,5.3
Blood Diamond,-42622084,57377916,100000000,8
Flyboys,-46909370,13090630,60000000,6.5
All the King's Men,-47778542,7221458,55000000,6.2
Goya's Ghosts,-48999374,1000626,50000000,6.9
The Good Shepherd,-50047165,59952835,110000000,6.7
Flags of Our Fathers,-56397624,33602376,90000000,7
Perfume: The Story of a Murderer,-57776707,2223293,60000000,7.5
Basic Instinct 2,-64028664,5971336,70000000,4.3
Superman Returns,-69918808,200081192,270000000,6
Arthur et les Minimoys,-70867237,15132763,86000000,6
Miami Vice,-71549530,63450470,135000000,6
Flushed Away,-84334328,64665672,149000000,6.6
Poseidon,-99325183,60674817,160000000,5.7
2007,1335584894,8457944894,7122360000,1064.3
Transformers,169246193,319246193,150000000,7
Shrek the Third,162719944,322719944,160000000,6.1
Alvin and the Chipmunks,157326974,217326974,60000000,5.2
Harry Potter and the Order of the Phoenix,142353413,292353413,150000000,7.5
Juno,135995265,143495265,7500000,7.4
Knocked Up,118768917,148768917,30000000,6.9
The Bourne Ultimatum,117471070,227471070,110000000,8
The Simpsons Movie,108135014,183135014,75000000,7.3
Paranormal Activity,107903810,107918810,15000,6.3
I Am Legend,106393010,256393010,150000000,7.2
Superbad,101463226,121463226,20000000,7.6
National Treasure: Book of Secrets,89964115,219964115,130000000,6.5
Spider-Man 3,78530303,336530303,258000000,6.2
The Game Plan,68648202,90648202,22000000,6.1
Bridge to Terabithia,65272442,82272442,17000000,7.1
Disturbia,60209692,80209692,20000000,6.8
Blades of Glory,57594548,118594548,61000000,6.3
Ratatouille,56445654,206445654,150000000,8
Saw IV,53300095,63300095,10000000,5.9
No Country for Old Men,49283625,74283625,25000000,8.1
The Bucket List,48466502,93466502,45000000,7.4
Stomp the Yard,48356221,61356221,13000000,5.4
1408,46985628,71985628,25000000,6.8
Hairspray,43871849,118871849,75000000,6.6
Halloween,43272029,58272029,15000000,6.1
Enchanted,42807262,127807262,85000000,7
Why Did I Get Married?,40204525,55204525,15000000,5.9
Norbit,35673607,95673607,60000000,4.1
I Now Pronounce You Chuck & Larry,35059556,120059556,85000000,5.9
Ocean's Thirteen,32154724,117154724,85000000,6.9
American Gangster,30164645,130164645,100000000,7.8
Premonition,27852604,47852604,20000000,5.9
Live Free or Die Hard,24529403,134529403,110000000,7.1
Michael Clayton,24033882,49033882,25000000,7.2
P.S. I Love You,23695808,53695808,30000000,7
Dan in Real Life,22642963,47642963,25000000,6.7
Are We Done Yet?,21662533,49662533,28000000,4.2
Atonement,20927067,50927067,30000000,7.8
TMNT,20149098,54149098,34000000,6.2
Epic Movie,19739367,39739367,20000000,2.4
The Messengers,19374833,35374833,16000000,5.4
Waitress,17574800,19074800,1500000,7
Hitman,15687694,39687694,24000000,6.3
Freedom Writers,15605602,36605602,21000000,7.5
The Great Debaters,15236407,30236407,15000000,7.5
There Will Be Blood,15222514,40222514,25000000,8.2
No Reservations,15107979,43107979,28000000,6.3
Music and Lyrics,10572589,50572589,40000000,6.5
Reno 911!: Miami,10342161,20342161,10000000,5.9
Good Luck Chuck,10017297,35017297,25000000,5.6
30 Days of Night,9569000,39569000,30000000,6.6
Pirates of the Caribbean: At World's End,9420425,309420425,300000000,7.1
License to Wed,8799818,43799818,35000000,5.3
Mr. Brooks,8549298,28549298,20000000,7.3
Mr. Bean's Holiday,8302167,33302167,25000000,6.4
The Mist,7594957,25594957,18000000,7.1
We Own the Night,7563179,28563179,21000000,6.8
Hostel: Part II,7409452,17609452,10200000,5.5
Daddy Day Camp,7235267,13235267,6000000,3.1
The Hitcher,6472961,16472961,10000000,5.6
The Nanny Diaries,5930652,25930652,20000000,6.2
The Hills Have Eyes II,5804166,20804166,15000000,5.1
Ghost Rider,5802596,115802596,110000000,5.2
Awake,5777198,14377198,8600000,6.5
Resident Evil: Extinction,5648679,50648679,45000000,6.3
Nancy Drew,5612520,25612520,20000000,5.9
The Visitor,5427089,9427089,4000000,7.6
The Number 23,5193167,35193167,30000000,6.4
Aqua Teen Hunger Force Colon Movie Film for Theaters,4770368,5520368,750000,6.7
Mr. Woodcock,3799486,25799486,22000000,5.1
Into the Wild,3354356,18354356,15000000,8.1
Sweeney Todd: The Demon Barber of Fleet Street,2898073,52898073,50000000,7.3
4: Rise of the Silver Surfer,1921738,131921738,130000000,5.6
AVPR: Aliens vs Predator - Requiem,1797066,41797066,40000000,4.7
August Rush,1664162,31664162,30000000,7.5
I Think I Love My Wife,1550605,12550605,11000000,5.5
Gone Baby Gone,1292962,20292962,19000000,7.6
In the Land of Women,1052958,11052958,10000000,6.4
Vacancy,363565,19363565,19000000,6.2
The Signal,201150,251150,50000,6
Rush Hour 3,125968,140125968,140000000,6.2
Reign Over Me,-338013,19661987,20000000,7.4
Death at a Funeral,-419572,8580428,9000000,7.4
He Was a Quiet Man,-597569,2431,600000,6.8
Georgia Rule,-896928,19103072,20000000,5.8
Diary of the Dead,-1041039,958961,2000000,5.6
Who's Your Caddy?,-1286575,5713425,7000000,2.2
My Name Is Bruce,-1326934,173066,1500000,6.2
3:10 to Yuma,-1393084,53606916,55000000,7.7
You Kill Me,-1570633,2429367,4000000,6.5
Paranoid Park,-2513233,486767,3000000,6.7
War,-2513591,22486409,25000000,6.2
Dead Silence,-3190924,16809076,20000000,6.2
December Boys,-3949285,50715,4000000,6.5
Run Fatboy Run,-3996738,6003262,10000000,6.6
P2,-4004982,3995018,8000000,5.9
The Darjeeling Limited,-4097285,11902715,16000000,7.2
Savage Grace,-4164254,435746,4600000,5.8
The Ten,-4480274,769726,5250000,5
I Know Who Killed Me,-4501284,7498716,12000000,3.6
Sydney White,-4607585,11892415,16500000,6.2
Youth Without Youth,-4755603,244397,5000000,6.2
Redacted,-4934612,65388,5000000,6.1
Sex and Death 101,-4976376,23624,5000000,6
Rocket Science,-5285057,714943,6000000,6.6
Wind Chill,-5963196,36804,6000000,5.8
Lars and the Real Girl,-6027116,5972884,12000000,7.3
The Comebacks,-6650073,13349927,20000000,4.3
A Mighty Heart,-6823213,9176787,16000000,6.6
Battle in Seattle,-7775831,224169,8000000,6.7
Margot at the Wedding,-8040580,1959420,10000000,6
Charlie Bartlett,-8048301,3951699,12000000,7
Charlie Wilson's War,-8338905,66661095,75000000,7
The Brothers Solomon,-9099074,900926,10000000,5.3
My Blueberry Nights,-9132725,867275,10000000,6.6
The Invisible,-9421091,20578909,30000000,6.2
King of California,-9731539,268461,10000000,6.6
Resurrecting the Champ,-9827427,3172573,13000000,6.7
The Air I Breathe,-9974225,25775,10000000,6.8
Bratz,-9989791,10010209,20000000,3.1
Death Sentence,-10465742,9534258,20000000,6.8
Reservation Road,-10878006,121994,11000000,6.7
Before the Devil Knows You're Dead,-10915773,7084227,18000000,7.3
The Lookout,-11399415,4600585,16000000,7
Blood and Chocolate,-11473153,3526847,15000000,5.4
Trade,-11785693,214307,12000000,7.4
Code Name: The Cleaner,-11864976,8135024,20000000,4.6
The Life Before Her Eyes,-12696561,303439,13000000,6.3
Things We Lost in the Fire,-12712685,3287315,16000000,7.2
88 Minutes,-12786533,17213467,30000000,5.9
Funny Games,-13705081,1294919,15000000,6.6
Shooter,-13996418,47003582,61000000,7.2
Captivity,-14373200,2626800,17000000,4.7
The Reaping,-14873786,25126214,40000000,5.6
I'm Not There,-15982391,4017609,20000000,6.9
Walk Hard: The Dewey Cox Story,-16682849,18317151,35000000,6.8
Rendition,-17763955,9736045,27500000,6.8
Silk,-18896925,1103075,20000000,5.9
Martian Child,-19499690,7500310,27000000,6.8
Lions for Lambs,-19997146,15002854,35000000,6.2
Across the Universe,-20397709,24602291,45000000,7.3
Hannibal Rising,-22329014,27670986,50000000,6.2
The Kingdom,-22463222,47536778,70000000,7
The Heartbreak Kid,-23212743,36787257,60000000,5.8
Bee Movie,-23368723,126631277,150000000,6.1
The Hunting Party,-24030131,969869,25000000,6.8
The Assassination of Jesse James by the Coward Robert Ford,-26090851,3909149,30000000,7.5
Shoot 'Em Up,-26192861,12807139,39000000,6.7
Fred Claus,-27993223,72006777,100000000,5.6
Stardust,-31365062,38634938,70000000,7.6
Zodiac,-31919916,33080084,65000000,7.7
Mr. Magorium's Wonder Emporium,-32938445,32061555,65000000,6.2
The Brave One,-33206196,36793804,70000000,6.7
Pathfinder,-34767919,10232081,45000000,5.4
The Seeker: The Dark Is Rising,-36205548,8794452,45000000,4.8
Perfect Stranger,-36810051,23984949,60795000,5.7
Elizabeth: The Golden Age,-38616491,16383509,55000000,6.8
Love in the Time of Cholera,-40392392,4607608,45000000,6.4
Surf's Up,-41132306,58867694,100000000,6.7
Grindhouse,-41962103,25037897,67000000,7.5
Lucky You,-49241050,5758950,55000000,5.9
Next,-51788987,18211013,70000000,6.2
Meet the Robinsons,-52177829,97822171,150000000,6.8
In the Name of the King: A Dungeon Siege Tale,-55224344,4775656,60000000,3.8
The Invasion,-64925809,15074191,80000000,5.9
Beowulf,-67719421,82280579,150000000,6.2
Evan Almighty,-74537702,100462298,175000000,5.4
The Golden Compass,-109892272,70107728,180000000,6.1
2008,1690431116,9215511116,7525080000,1111.7
The Dark Knight,350234033,535234033,185000000,9
Iron Man,179034126,319034126,140000000,7.9
Twilight,156962473,193962473,37000000,5.2
Indiana Jones and the Kingdom of the Crystal Skull,132101119,317101119,185000000,6.1
Slumdog Millionaire,126319928,141319928,15000000,8
Taken,120000989,145000989,25000000,7.8
Gran Torino,115095302,148095302,33000000,8.1
Mamma Mia!,92169664,144169664,52000000,6.4
Sex and the City,87647258,152647258,65000000,5.6
Kung Fu Panda,85434591,215434591,130000000,7.5
Marley & Me,83153751,143153751,60000000,7.1
High School Musical 3: Senior Year,79559416,90559416,11000000,4.8
Hancock,77946274,227946274,150000000,6.4
Beverly Hills Chihuahua,74514402,94514402,20000000,3.8
Horton Hears a Who!,69529439,154529439,85000000,6.8
Pineapple Express,60341380,87341380,27000000,6.9
Wanted,59508551,134508551,75000000,6.7
Cloverfield,55048433,80048433,25000000,7
Get Smart,50319208,130319208,80000000,6.5
27 Dresses,46808654,76808654,30000000,6.1
21,46159365,81159365,35000000,6.8
Saw V,45946769,56746769,10800000,5.8
What Happens in Vegas,45277646,80277646,35000000,6.1
WALL·E,43808164,223808164,180000000,8.4
The Strangers,43597610,52597610,9000000,6.2
Journey to the Center of the Earth,41704370,101704370,60000000,5.8
Step Up 2: The Streets,40517783,58017783,17500000,6.2
Four Christmases,40146040,120146040,80000000,5.7
Role Models,39294270,67294270,28000000,6.8
Step Brothers,35468793,100468793,65000000,6.9
Forgetting Sarah Marshall,33172463,63172463,30000000,7.1
Fireproof,32956317,33456317,500000,6.5
Vantage Point,32266306,72266306,40000000,6.6
Baby Mama,30494212,60494212,30000000,6
Bedtime Stories,30101975,110101975,80000000,6
Madagascar: Escape 2 Africa,30010950,180010950,150000000,6.6
Yes Man,27690976,97690976,70000000,6.8
The Secret Life of Bees,26770162,37770162,11000000,7.3
Star Wars: The Clone Wars,26661554,35161554,8500000,5.9
Harold & Kumar Escape from Guantanamo Bay,26108728,38108728,12000000,6.6
Prom Night,23869350,43869350,20000000,3.9
Burn After Reading,23355347,60355347,37000000,7
The House Bunny,23237389,48237389,25000000,5.5
Nick and Norah's Infinite Playlist,21487293,31487293,10000000,6.6
Eagle Eye,21440743,101440743,80000000,6.6
The Wrestler,20238243,26238243,6000000,7.9
Quarantine,19691811,31691811,12000000,5.9
The Eye,19418697,31418697,12000000,5.4
Lakeview Terrace,19263506,39263506,20000000,6.1
Tropic Thunder,18515313,110515313,92000000,7
Shutter,17928550,25928550,8000000,5.2
The Sisterhood of the Traveling Pants 2,17089964,44089964,27000000,6.2
The Happening,16506874,64506874,48000000,5
Seven Pounds,14951824,69951824,55000000,7.6
Doubt,13446470,33446470,20000000,7.5
Nights in Rodanthe,11850659,41850659,30000000,6
Milk,11841299,31841299,20000000,7.5
Nim's Island,11006762,48006762,37000000,6
The Women,10902075,26902075,16000000,5
The Bank Job,10060660,30060660,20000000,7.2
You Don't Mess with the Zohan,10018837,100018837,90000000,5.5
The Ruins,9432844,17432844,8000000,5.8
Meet the Spartans,8233676,38233676,30000000,2.8
Valkyrie,8077833,83077833,75000000,7.1
Vicky Cristina Barcelona,7716709,23216709,15500000,7.1
Zack and Miri Make a Porno,7457946,31457946,24000000,6.5
"Welcome Home, Roscoe Jenkins",7436517,42436517,35000000,5.5
One Missed Call,6890041,26890041,20000000,4
Street Kings,6418667,26418667,20000000,6.8
Made of Honor,6012734,46012734,40000000,5.9
Max Payne,5689393,40689393,35000000,5.4
Never Back Down,4850922,24850922,20000000,6.6
Sunshine Cleaning,4062558,12062558,8000000,6.8
The Reader,2194407,34194407,32000000,7.6
The Hurt Locker,2017811,17017811,15000000,7.6
Transporter 3,1715062,31715062,30000000,6.1
Traitor,1530831,23530831,22000000,7
Frozen River,1511476,2511476,1000000,7.1
Wendy and Lucy,665695,865695,200000,7.1
W.,434493,25534493,25100000,6.3
Fool's Gold,231041,70231041,70000000,5.7
Appaloosa,211394,20211394,20000000,6.7
Choke,-73435,2926565,3000000,6.4
Bronson,-125021,104979,230000,7.1
The Day the Earth Stood Still,-633022,79366978,80000000,5.5
I Sell the Dead,-741950,8050,750000,6.1
My Best Friend's Girl,-780750,19219250,20000000,5.9
Bottle Shock,-921393,4078607,5000000,6.8
Lymelife,-1078693,421307,1500000,6.9
Mad Money,-1331157,20668843,22000000,5.8
College,-2305364,4694636,7000000,4.6
Over Her Dead Body,-2436330,7563670,10000000,5.2
RED,-2495357,4643,2500000,7
The Forbidden Kingdom,-2924730,52075270,55000000,6.6
Defiance,-3355187,28644813,32000000,7.2
The Boy in the Striped Pyjamas,-3453844,9046156,12500000,7.8
Surveillance,-3472651,27349,3500000,6.3
Cadillac Records,-3804449,8195551,12000000,7
The Wackness,-3922884,2077116,6000000,7
Hamlet 2,-4113784,4886216,9000000,6.3
Mirrors,-4308561,30691439,35000000,6.2
Redbelt,-4654059,2345941,7000000,6.7
Swing Vote,-4710133,16289867,21000000,6.1
Jumper,-4827872,80172128,85000000,6.1
Igor,-5471398,19528602,25000000,6
Disaster Movie,-5809099,14190901,20000000,1.9
Untraceable,-6312165,28687835,35000000,6.2
Frost/Nixon,-6377969,18622031,25000000,7.7
Ghost Town,-6632376,13367624,20000000,6.7
Two Lovers,-6650966,3149034,9800000,7
Space Chimps,-6894032,30105968,37000000,4.5
Drillbit Taylor,-7137896,32862104,40000000,5.7
In Bruges,-7199176,7800824,15000000,7.9
Rambo,-7245895,42754105,50000000,7
The Promotion,-7591291,408709,8000000,5.6
Pathology,-7890154,109846,8000000,6
Fireflies in the Garden,-7929400,70600,8000000,6.5
The Other Boleyn Girl,-8185043,26814957,35000000,6.7
Repo! The Genetic Opera,-8353250,146750,8500000,6.6
The Rocker,-8590472,6409528,15000000,6.2
Death Race,-8683968,36316032,45000000,6.4
Be Kind Rewind,-8824836,11175164,20000000,6.4
Hellboy II: The Golden Army,-9013497,75986503,85000000,7
The X Files: I Want to Believe,-9017522,20982478,30000000,5.9
Superhero Movie,-9118932,25881068,35000000,4.5
The Tale of Despereaux,-9122855,50877145,60000000,6.1
Elegy,-9418358,3581642,13000000,6.7
"War, Inc.",-9419138,580862,10000000,5.6
"10,000 BC",-10215799,94784201,105000000,5.1
Sex Drive,-10597515,8402485,19000000,6.5
Revolutionary Road,-12088520,22911480,35000000,7.3
RocknRolla,-12299374,5700626,18000000,7.3
"New York, I Love You",-13111985,1588015,14700000,6.2
Strange Wilderness,-13424718,6575282,20000000,5.3
Brideshead Revisited,-13567744,6432256,20000000,6.7
Stop-Loss,-14084256,10915744,25000000,6.4
Pride and Glory,-14259279,15740721,30000000,6.6
The Lucky Ones,-14733033,266967,15000000,6.9
The Other Man,-14850472,149528,15000000,5.4
The Midnight Meat Train,-14916639,83361,15000000,6
The Incredible Hulk,-15193087,134806913,150000000,6.7
Flash of Genius,-15557623,4442377,20000000,7
The Brothers Bloom,-16468244,3531756,20000000,6.8
"Synecdoche, New York",-16916462,3083538,20000000,7.6
The Informers,-17700000,300000,18000000,5
The Spiderwick Chronicles,-18804947,71195053,90000000,6.5
Doomsday,-18991230,11008770,30000000,6
Changeling,-19260198,35739802,55000000,7.7
The Burning Plain,-19799270,200730,20000000,6.8
Righteous Kill,-19918590,40081410,60000000,6
Deception,-20401494,4598506,25000000,6.1
Semi-Pro,-21520302,33479698,55000000,5.8
The Curious Case of Benjamin Button,-22490674,127509326,150000000,7.8
Me and Orson Welles,-23809997,1190003,25000000,6.7
What Just Happened,-23909053,1090947,25000000,5.6
Passengers,-24707563,292437,25000000,5.9
Mutant Chronicles,-24993180,6820,25000000,5.2
Leatherheads,-26626062,31373938,58000000,6
Punisher: War Zone,-26949023,8050977,35000000,5.9
Bangkok Dangerous,-29701867,15298133,45000000,5.4
The Love Guru,-29764207,32235793,62000000,3.8
The Express,-30206594,9793406,40000000,7.3
Body of Lies,-30605334,39394666,70000000,7.1
Quantum of Solace,-31631573,168368427,200000000,6.6
Bolt,-35946421,114053579,150000000,6.8
Miracle at St. Anna,-37080883,7919117,45000000,6.1
The Spirit,-40193812,19806188,60000000,4.8
The Mummy: Tomb of the Dragon Emperor,-42508224,102491776,145000000,5.2
Inkheart,-42696576,17303424,60000000,6.1
City of Ember,-47126993,7873007,55000000,6.5
Babylon A.D.,-47467428,22532572,70000000,5.6
Meet Dave,-48196746,11803254,60000000,5
Outlander,-49833997,166003,50000000,6.2
Speed Racer,-76054234,43945766,120000000,6
Australia,-80445998,49554002,130000000,6.6
The Chronicles of Narnia: Prince Caspian,-83378510,141621490,225000000,6.5
2009,2468892370,9807992370,7339100000,1042.4
Avatar,523507625,760507625,237000000,7.8
The Twilight Saga: New Moon,247816253,297816253,50000000,4.7
The Hangover,242322503,277322503,35000000,7.7
The Blind Side,226959475,255959475,29000000,7.6
Transformers: Revenge of the Fallen,202111870,402111870,200000000,6
Alvin and the Chipmunks: The Squeakquel,144614612,219614612,75000000,4.5
The Proposal,123958031,163958031,40000000,6.7
Paul Blart: Mall Cop,120336178,146336178,26000000,5.2
Sherlock Holmes,119028679,209028679,90000000,7.6
Up,118004164,293004164,175000000,8.2
Star Trek,107730019,257730019,150000000,7.9
Ice Age: Dawn of the Dinosaurs,106573705,196573705,90000000,6.9
District 9,85646235,115646235,30000000,7.9
Fast & Furious,70064265,155064265,85000000,6.6
Up in the Air,58823381,83823381,25000000,7.4
Julie & Julia,54125426,94125426,40000000,7
He's Just Not That Into You,53953653,93953653,40000000,6.4
Harry Potter and the Half-Blood Prince,52305431,302305431,250000000,7.6
Zombieland,51990286,75590286,23600000,7.6
The Ugly Truth,50915214,88915214,38000000,6.4
Inglourious Basterds,50540719,120540719,70000000,8.3
Hannah Montana: The Movie,49576189,79576189,30000000,4.5
Obsessed,48261644,68261644,20000000,5
Friday the 13th,46002019,65002019,19000000,5.5
The Haunting in Connecticut,45389516,55389516,10000000,5.9
17 Again,44167069,64167069,20000000,6.3
Couples Retreat,39204945,109204945,70000000,5.5
Hotel for Dogs,38034460,73034460,35000000,5.4
Precious,37566524,47566524,10000000,7.3
My Bloody Valentine,36545952,51545952,15000000,5.4
Crazy Heart,32464306,39464306,7000000,7.2
"I Love You, Man",31440011,71440011,40000000,7
Knowing,29957634,79957634,50000000,6.2
X-Men Origins: Wolverine,29883157,179883157,150000000,6.6
Bride Wars,28715510,58715510,30000000,5.5
It's Complicated,27735375,112735375,85000000,6.5
Night at the Museum: Battle of the Smithsonian,27243721,177243721,150000000,6
The Unborn,26670410,42670410,16000000,4.8
The Final Destination,26477700,66477700,40000000,5.2
(500) Days of Summer,24891374,32391374,7500000,7.7
Cloudy with a Chance of Meatballs,24870275,124870275,100000000,6.9
The Time Traveler's Wife,24414846,63414846,39000000,7.1
Law Abiding Citizen,23357727,73357727,50000000,7.4
Monsters vs. Aliens,23351526,198351526,175000000,6.4
My Sister's Keeper,19200230,49200230,30000000,7.4
All About Steve,18862903,33862903,15000000,4.8
Halloween II,18392973,33392973,15000000,4.9
Brüno,18054530,60054530,42000000,5.8
The Last House on the Left,17752215,32752215,15000000,6.5
Ghosts of Girlfriends Past,17750026,55250026,37500000,5.8
Notorious,16843682,36843682,20000000,6.7
Saw VI,16693292,27693292,11000000,6
The Fourth Kind,15486040,25486040,10000000,5.9
Coraline,15286229,75286229,60000000,7.7
Old Dogs,14492060,49492060,35000000,5.4
Drag Me to Hell,12100625,42100625,30000000,6.5
The Informant!,11316821,33316821,22000000,6.4
Underworld: Rise of the Lycans,10802315,45802315,35000000,6.6
Brooklyn's Finest,10163593,27163593,17000000,6.7
Daybreakers,10101577,30101577,20000000,6.4
The Stepfather,9062561,29062561,20000000,5.6
New in Town,8734283,16734283,8000000,5.6
The Men Who Stare at Goats,7428195,32428195,25000000,6.2
Next Day Air,7027047,10027047,3000000,5.8
Observe and Report,6007324,24007324,18000000,5.8
"The Goods: Live Hard, Sell Hard",5122676,15122676,10000000,5.8
An Education,5074914,12574914,7500000,7.3
Love Happens,4965110,22965110,18000000,5.7
Fame,4455510,22455510,18000000,5.1
Extract,2823158,10823158,8000000,6.1
Brothers,2544157,28544157,26000000,7.1
The Boondock Saints II: All Saints Day,2273188,10273188,8000000,6.3
A Serious Man,2228768,9228768,7000000,7
Get Low,2176933,9176933,7000000,7
A Single Man,2176000,9176000,7000000,7.6
Race to Witch Mountain,2172594,67172594,65000000,5.7
9,1749894,31749894,30000000,7.1
The Collector,1712114,7712114,6000000,6.4
A Perfect Getaway,1515460,15515460,14000000,6.5
City Island,671036,6671036,6000000,7.4
Dance Flick,662155,25662155,25000000,3.5
Jennifer's Body,204793,16204793,16000000,5.2
Moon,10163,5010163,5000000,7.9
The Invention of Lying,-48749,18451251,18500000,6.4
Sorority Row,-534718,11965282,12500000,5.1
The Princess and the Frog,-599101,104400899,105000000,7.1
The House of the Devil,-798785,101215,900000,6.4
The Girlfriend Experience,-1004160,695840,1700000,5.5
Miss March,-1456680,4543320,6000000,5
Ninja Assassin,-1877117,38122883,40000000,6.3
Whip It,-1956637,13043363,15000000,6.9
Black Dynamite,-2657422,242578,2900000,7.4
Youth in Revolt,-2718714,15281286,18000000,6.4
Fired Up!,-2768709,17231291,20000000,6.1
Public Enemies,-2895380,97104620,100000000,7
"I Love You, Beth Cooper",-3199275,14800725,18000000,5.3
Fanboys,-3211471,688529,3900000,6.6
Defendor,-3455538,44462,3500000,6.8
Survival of the Dead,-3898260,101740,4000000,4.9
Armored,-4011124,15988876,20000000,5.7
After.Life,-4391405,108595,4500000,5.9
Tetro,-4481478,518522,5000000,6.8
Shrink,-4910379,189621,5100000,6.6
The Messenger,-5390340,1109660,6500000,7.1
Mother and Child,-5889491,1110509,7000000,7.2
Push,-6188473,31811527,38000000,6.1
Crank: High Voltage,-6315751,13684249,20000000,6.2
The Secret of Kells,-7323225,676775,8000000,7.6
Away We Go,-7548054,9451946,17000000,7
My Life in Ruins,-8334794,8665206,17000000,5.9
The Joneses,-8524254,1475746,10000000,6.5
Post Grad,-8619981,6380019,15000000,5.3
Leaves of Grass,-8929934,70066,9000000,6.4
Street Fighter: The Legend of Chun-Li,-9257739,8742261,18000000,3.7
Whatever Works,-9693294,5306706,15000000,7.1
12 Rounds,-9765306,12234694,22000000,5.6
Gentlemen Broncos,-9886318,113682,10000000,6.2
Solitary Man,-10639452,4360548,15000000,6.3
Chloe,-10924745,3075255,14000000,6.3
I Love You Phillip Morris,-10962541,2037459,13000000,6.6
Ondine,-11449528,550472,12000000,6.8
Everybody's Fine,-11791124,9208876,21000000,7.1
Case 39,-12738149,13261851,26000000,6.2
Splice,-12989830,17010170,30000000,5.7
Bandslam,-14789012,5210988,20000000,6.3
The Box,-14948023,15051977,30000000,5.6
Angels & Demons,-16624154,133375846,150000000,6.7
Year One,-16662721,43337279,60000000,4.9
The Road,-16883000,8117000,25000000,7.2
Crossing Over,-18544346,455654,19000000,6.7
Fantastic Mr. Fox,-18997081,21002919,40000000,7.9
Middle Men,-19245699,754301,20000000,6.8
Duplicity,-19427175,40572825,60000000,6.1
Aliens in the Attic,-19799588,25200412,45000000,5.4
Dragonball Evolution,-20637215,9362785,30000000,2.5
The Lovely Bones,-20885768,44114232,65000000,6.7
